n,k,z,b,ep_c,prob_c,ex_bag_c,opt_bag_c,ep_r,prob_r,ex_bag_r,opt_bag_r
10,2,4,2,121.4097,121.4097,-1,-1,0.0005,0.0009,-1,-1
10,5,4,2,121.0521,121.2668,-1,-1,0.0007,0.0017,-1,-1
100,2,4,3,180.6654,224.4938,-1,-1,0.0042,0.0075,-1,-1
100,2,4,6,180.6654,224.4938,-1,-1,0.0043,0.0073,-1,-1
300,2,4,3,220.6576,230.5145,-1,-1,0.0127,0.0221,-1,-1
300,2,4,6,220.6576,230.5145,-1,-1,0.0137,0.0223,-1,-1
600,2,4,3,228.8433,230.6249,-1,-1,0.0252,0.0423,-1,-1
600,2,4,6,228.8433,230.6249,-1,-1,0.0257,0.0441,-1,-1
1000,2,4,3,230.334,230.6262,-1,-1,0.0431,0.073,-1,-1
1000,2,4,6,230.334,230.6262,-1,-1,0.0421,0.072,-1,-1
100,5,9,3,191.7147,191.7147,-1,-1,0.007,0.0134,-1,-1
100,5,9,6,191.7147,191.7147,-1,-1,0.0075,0.0146,-1,-1
300,5,9,3,209.7543,209.7543,-1,-1,0.0226,0.0462,-1,-1
300,5,9,6,209.7543,209.7543,-1,-1,0.0215,0.0442,-1,-1
600,5,9,3,223.894,223.8967,-1,-1,0.0451,0.0881,-1,-1
600,5,9,6,223.894,223.8967,-1,-1,0.046,0.0844,-1,-1
1000,5,9,3,228.9508,228.951,-1,-1,0.0707,0.137,-1,-1
1000,5,9,6,228.9508,228.951,-1,-1,0.0662,0.1333,-1,-1
300,10,16,3,207.6243,207.9059,-1,-1,0.0352,0.0771,-1,-1
300,10,16,6,207.6243,207.9059,-1,-1,0.0375,0.0717,-1,-1
600,10,16,3,218.437,218.437,-1,-1,0.0648,0.1347,-1,-1
600,10,16,6,218.437,218.437,-1,-1,0.0692,0.1445,-1,-1
1000,10,16,3,224.4962,224.376,-1,-1,0.1122,0.2306,-1,-1
1000,10,16,6,224.4962,224.376,-1,-1,0.1212,0.2475,-1,-1
